,text,type
0,Calvin is not strange.,fact
1,Herbert is not hard-working.,fact
2,Hector is not aggressive.,fact
3,Alfred is impossible.,fact
4,Alfred is interesting.,fact
5,Sabrina is strange.,fact
6,Hector is hard-working.,fact
7,Connell is not impossible.,fact
8,Alfred is not hard-working.,fact
9,Collier is not available.,fact
10,Connell is not interesting.,fact
11,Calvin is hard-working.,fact
12,"If someone is interesting or not aggressive, then he is hard-working.",rule
13,Someone who is not strange is always impossible.,rule
14,"If there is at least one people who is aggressive or not hard-working, then Collier is not interesting.",rule
15,"If there is at least one people who is both strange and not aggressive, then Connell is available.",rule
16,"If someone is not interesting or he is not aggressive, then he is not hard-working.",rule
17,"If there is someone who is hard-working, then Calvin is interesting and Sabrina is strange.",rule
18,Someone is not impossible if and only if he is not interesting.,rule
19,"If there is at least one people who is available, then Collier is not strange.",rule
20,"If Connell is available, then Alfred is not aggressive and Calvin is strange, and vice versa.",rule
21,Someone who is both available and not hard-working is always strange.,rule
22,"If there is someone who is not interesting, then Collier is not available and Sabrina is not strange.",rule
23,Herbert being interesting implies that Alfred is available and Sabrina is strange.,rule
24,Norris is not realistic.,fact
25,Norris is not conscientious.,fact
26,Irvin is realistic.,fact
27,Tobias is vivacious.,fact
28,Irvin is conscientious.,fact
29,Ian is not conscientious.,fact
30,Ian is not vivacious.,fact
31,Ian is bright.,fact
32,Timothy is entire.,fact
33,Ian is entire.,fact
34,Timothy is not mellow.,fact
35,Igor is bright.,fact
36,"If someone is both conscientious and bright, then he is not mellow.",rule
37,Someone who is eithor not conscientious or not vivacious is always not bright.,rule
38,Someone being entire is equivalent to being conscientious.,rule
39,Someone being both not entire and mellow is equivalent to being not conscientious and vivacious.,rule
40,"If there is at least one people who is not entire, then Timothy is realistic.",rule
41,Timothy being bright implies that Irvin is not conscientious.,rule
42,"If someone is not entire and vivacious, then he is both not bright and realistic, and vice versa.",rule
43,"If Ian is mellow and Igor is not conscientious, then Timothy is vivacious.",rule
44,"If there is at least one people who is not realistic, then Norris is not bright.",rule
45,Someone who is realistic and bright is always not entire and not vivacious.,rule
46,Ian is entire if and only if Igor is not mellow.,rule
47,"If someone is not realistic, then he is conscientious.",rule
48,Robyn is not lively.,fact
49,Shelley is splendid.,fact
50,Bethany is not splendid.,fact
51,Merlin is not splendid.,fact
52,Tyler is weak.,fact
53,Shelley is sensible.,fact
54,Robyn is not sensible.,fact
55,Lucy is sensible.,fact
56,Shelley is lively.,fact
57,Lucy is not splendid.,fact
58,Merlin is not weak.,fact
59,Tyler is inquisitive.,fact
60,"If someone is not sensible and not realistic, then he is inquisitive, and vice versa.",rule
61,Someone who is realistic is always not splendid.,rule
62,Someone being both sensible and realistic is equivalent to being splendid.,rule
63,"If someone is sensible, then he is both not weak and realistic.",rule
64,Someone who is sensible is always inquisitive.,rule
